symbol,timestamp,open,high,low,close,volume,trade_count,vwap
MSFT,2026-06-15 08:00:00+00:00,398.7,399.4698,397.1,399.37,57663.0,3018.0,398.04063
MSFT,2026-06-15 08:05:00+00:00,398.0,399.6,397.07,398.5,101154.0,5727.0,398.009591
MSFT,2026-06-15 08:10:00+00:00,399.06,399.5,397.38,398.98,13885.0,646.0,399.141441
MSFT,2026-06-15 08:15:00+00:00,399.0,399.4,398.2,398.32,8467.0,397.0,398.544908
MSFT,2026-06-15 08:20:00+00:00,398.37,398.48,398.15,398.29,7007.0,232.0,398.2189
MSFT,2026-06-15 08:25:00+00:00,398.3,399.08,398.28,398.78,11500.0,322.0,398.680389
MSFT,2026-06-15 08:30:00+00:00,398.65,399.08,398.4,398.592,5349.0,301.0,398.630866
MSFT,2026-06-15 08:35:00+00:00,398.5,398.65,398.18,398.6,2653.0,156.0,398.480821
MSFT,2026-06-15 08:40:00+00:00,398.66,398.9614,398.62,398.62,5334.0,205.0,398.753769
MSFT,2026-06-15 08:45:00+00:00,398.62,398.62,398.2,398.2,3724.0,252.0,398.464731
MSFT,2026-06-15 08:50:00+00:00,398.07,398.45,398.0,398.0,4690.0,342.0,398.105852
MSFT,2026-06-15 08:55:00+00:00,398.03,398.3967,398.03,398.1,2280.0,134.0,398.178408
MSFT,2026-06-15 09:00:00+00:00,398.3,398.3,397.75,397.75,4078.0,249.0,398.053888
MSFT,2026-06-15 09:05:00+00:00,397.91,398.11,397.91,398.05,2979.0,164.0,398.022905
MSFT,2026-06-15 09:10:00+00:00,398.12,398.37,398.12,398.3,2953.0,79.0,398.189002
MSFT,2026-06-15 09:15:00+00:00,398.33,398.35,398.0,398.1397,3666.0,224.0,398.140773
MSFT,2026-06-15 09:20:00+00:00,398.1847,398.1847,397.91,398.0,3343.0,178.0,398.045491
MSFT,2026-06-15 09:25:00+00:00,397.8,397.8,397.52,397.52,3093.0,204.0,397.664148
MSFT,2026-06-15 09:30:00+00:00,397.6,397.66,397.32,397.44,4992.0,257.0,397.451339
MSFT,2026-06-15 09:35:00+00:00,397.32,397.68,397.32,397.46,7609.0,178.0,397.50744
MSFT,2026-06-15 09:40:00+00:00,397.51,397.66,397.0171,397.0171,5454.0,214.0,397.335221
MSFT,2026-06-15 09:45:00+00:00,397.01,397.15,396.6,396.91,6053.0,420.0,396.896169
MSFT,2026-06-15 09:50:00+00:00,396.87,397.25,396.87,397.2,1573.0,118.0,397.135652
MSFT,2026-06-15 09:55:00+00:00,397.25,397.99,397.23,397.63,4473.0,167.0,397.639492
MSFT,2026-06-15 10:00:00+00:00,397.43,397.66,397.35,397.66,2185.0,112.0,397.48494
MSFT,2026-06-15 10:05:00+00:00,397.48,397.68,397.35,397.59,2252.0,113.0,397.475481
MSFT,2026-06-15 10:10:00+00:00,397.51,397.53,397.44,397.53,586.0,46.0,397.483912
MSFT,2026-06-15 10:15:00+00:00,397.51,397.6,397.4,397.41,2567.0,190.0,397.539013
MSFT,2026-06-15 10:20:00+00:00,397.5,397.5,397.24,397.3,3121.0,173.0,397.343052
MSFT,2026-06-15 10:25:00+00:00,397.37,397.8,397.3105,397.5007,3649.0,113.0,397.52288
MSFT,2026-06-15 10:30:00+00:00,397.65,397.65,397.15,397.22,2691.0,176.0,397.282812
MSFT,2026-06-15 10:35:00+00:00,397.3,397.4,396.52,396.52,7599.0,329.0,396.816192
MSFT,2026-06-15 10:40:00+00:00,396.5036,396.84,396.5,396.8,2806.0,156.0,396.604457
MSFT,2026-06-15 10:45:00+00:00,396.8,396.84,396.64,396.65,2524.0,136.0,396.698805
MSFT,2026-06-15 10:50:00+00:00,396.69,396.81,396.6022,396.6022,1397.0,111.0,396.721586
MSFT,2026-06-15 10:55:00+00:00,396.72,396.84,396.6,396.62,5563.0,214.0,396.716593
MSFT,2026-06-15 11:00:00+00:00,396.82,396.83,395.61,395.62,27434.0,1178.0,396.208834
MSFT,2026-06-15 11:05:00+00:00,395.79,395.88,394.74,395.6,30666.0,1001.0,395.39919
MSFT,2026-06-15 11:10:00+00:00,395.57,396.0,395.5,395.624,9799.0,426.0,395.730582
MSFT,2026-06-15 11:15:00+00:00,395.6597,396.12,395.502,395.98,15728.0,438.0,395.998253
MSFT,2026-06-15 11:20:00+00:00,395.99,396.359,395.82,396.0501,10572.0,356.0,396.054991
MSFT,2026-06-15 11:25:00+00:00,396.05,396.674,395.97,396.674,14868.0,378.0,396.279563
MSFT,2026-06-15 11:30:00+00:00,396.58,396.7,396.0967,396.4782,7673.0,405.0,396.470426
MSFT,2026-06-15 11:35:00+00:00,396.0886,396.5,395.69,395.95,12575.0,723.0,395.952294
MSFT,2026-06-15 11:40:00+00:00,395.9,396.0,395.51,395.62,6854.0,394.0,395.762197
MSFT,2026-06-15 11:45:00+00:00,395.68,396.25,395.55,396.2,10774.0,296.0,395.968107
MSFT,2026-06-15 11:50:00+00:00,396.0,396.5,395.86,396.5,6945.0,308.0,396.155631
MSFT,2026-06-15 11:55:00+00:00,396.5001,397.44,396.2,397.19,23743.0,831.0,396.788897
