symbol,timestamp,open,high,low,close,volume,trade_count,vwap
NVDA,2026-06-15 08:00:00+00:00,209.98,211.33,209.1,210.21,176473.0,7598.0,210.226625
NVDA,2026-06-15 08:05:00+00:00,210.0,211.35,209.81,210.04,681824.0,19378.0,210.45419
NVDA,2026-06-15 08:10:00+00:00,210.01,211.25,209.9,210.29,45225.0,1759.0,210.253437
NVDA,2026-06-15 08:15:00+00:00,210.35,210.41,210.23,210.34,64893.0,1080.0,210.30849
NVDA,2026-06-15 08:20:00+00:00,210.35,210.36,210.23,210.32,26360.0,748.0,210.288969
NVDA,2026-06-15 08:25:00+00:00,210.3015,210.51,210.27,210.47,27561.0,818.0,210.40615
NVDA,2026-06-15 08:30:00+00:00,210.46,210.57,210.18,210.21,32301.0,979.0,210.358742
NVDA,2026-06-15 08:35:00+00:00,210.22,210.3223,210.15,210.3223,31364.0,735.0,210.265259
NVDA,2026-06-15 08:40:00+00:00,210.32,210.39,210.27,210.35,17291.0,582.0,210.329381
NVDA,2026-06-15 08:45:00+00:00,210.35,210.45,210.2946,210.2946,10972.0,559.0,210.387607
NVDA,2026-06-15 08:50:00+00:00,210.29,210.35,209.99,210.0962,39708.0,1079.0,210.098496
NVDA,2026-06-15 08:55:00+00:00,210.1,210.25,210.0044,210.02,22928.0,782.0,210.113911
NVDA,2026-06-15 09:00:00+00:00,210.01,210.21,209.99,210.15,20429.0,714.0,210.091797
NVDA,2026-06-15 09:05:00+00:00,210.2,210.25,210.0,210.05,13329.0,532.0,210.079437
NVDA,2026-06-15 09:10:00+00:00,210.0339,210.1043,209.78,209.85,22883.0,925.0,209.89726
NVDA,2026-06-15 09:15:00+00:00,209.77,209.8368,209.68,209.72,17723.0,721.0,209.730142
NVDA,2026-06-15 09:20:00+00:00,209.68,209.71,209.6,209.685,15095.0,560.0,209.658444
NVDA,2026-06-15 09:25:00+00:00,209.7194,209.8,209.6,209.65,15603.0,560.0,209.684739
NVDA,2026-06-15 09:30:00+00:00,209.6867,209.6867,209.34,209.42,26437.0,757.0,209.466774
NVDA,2026-06-15 09:35:00+00:00,209.38,209.5,209.2,209.36,34776.0,734.0,209.371145
NVDA,2026-06-15 09:40:00+00:00,209.455,209.52,209.39,209.49,8328.0,437.0,209.468554
NVDA,2026-06-15 09:45:00+00:00,209.42,209.46,209.3,209.46,13772.0,466.0,209.397179
NVDA,2026-06-15 09:50:00+00:00,209.5,209.64,209.5,209.58,18476.0,526.0,209.567064
NVDA,2026-06-15 09:55:00+00:00,209.5919,209.7253,209.59,209.65,29325.0,522.0,209.641025
NVDA,2026-06-15 10:00:00+00:00,209.6,209.68,209.54,209.54,17513.0,518.0,209.604341
NVDA,2026-06-15 10:05:00+00:00,209.5472,209.58,209.46,209.58,18031.0,491.0,209.522251
NVDA,2026-06-15 10:10:00+00:00,209.61,209.7,209.53,209.7,10352.0,437.0,209.656436
NVDA,2026-06-15 10:15:00+00:00,209.7,209.7,209.4,209.48,27935.0,846.0,209.486387
NVDA,2026-06-15 10:20:00+00:00,209.48,209.65,209.4,209.57,23930.0,540.0,209.494613
NVDA,2026-06-15 10:25:00+00:00,209.5963,209.62,209.51,209.6123,10643.0,451.0,209.568564
NVDA,2026-06-15 10:30:00+00:00,209.46,209.53,209.42,209.44,11531.0,423.0,209.470953
NVDA,2026-06-15 10:35:00+00:00,209.45,209.59,209.42,209.45,18234.0,582.0,209.457997
NVDA,2026-06-15 10:40:00+00:00,209.45,209.475,209.28,209.37,21662.0,916.0,209.333816
NVDA,2026-06-15 10:45:00+00:00,209.375,209.39,209.2129,209.39,29475.0,760.0,209.304905
NVDA,2026-06-15 10:50:00+00:00,209.38,209.4,209.2,209.22,25728.0,571.0,209.30003
NVDA,2026-06-15 10:55:00+00:00,209.22,209.22,209.0,209.07,52220.0,1262.0,209.08126
NVDA,2026-06-15 11:00:00+00:00,209.01,209.1,208.63,208.7631,267400.0,4280.0,208.879898
NVDA,2026-06-15 11:05:00+00:00,208.7999,208.93,208.65,208.7982,110166.0,1377.0,208.772416
NVDA,2026-06-15 11:10:00+00:00,208.7662,209.1,208.7586,209.06,97637.0,1332.0,208.970725
NVDA,2026-06-15 11:15:00+00:00,209.09,209.32,209.0263,209.32,103117.0,1442.0,209.150614
NVDA,2026-06-15 11:20:00+00:00,209.33,209.39,209.2427,209.39,93022.0,1354.0,209.334165
NVDA,2026-06-15 11:25:00+00:00,209.37,209.38,209.17,209.33,47716.0,1148.0,209.270818
NVDA,2026-06-15 11:30:00+00:00,209.3889,209.4,209.15,209.1785,64463.0,1191.0,209.294346
NVDA,2026-06-15 11:35:00+00:00,209.2,209.25,208.9802,209.0,99554.0,1536.0,209.051064
NVDA,2026-06-15 11:40:00+00:00,209.0,209.0,208.32,208.32,141773.0,2580.0,208.666631
NVDA,2026-06-15 11:45:00+00:00,208.399,208.69,207.99,208.59,280405.0,3623.0,208.349116
NVDA,2026-06-15 11:50:00+00:00,208.5507,208.91,208.49,208.8,104102.0,1495.0,208.678744
NVDA,2026-06-15 11:55:00+00:00,208.8827,208.8827,208.61,208.73,81490.0,1382.0,208.739519
NVDA,2026-06-15 12:00:00+00:00,208.7119,208.8,208.37,208.75,95532.0,1887.0,208.618829
NVDA,2026-06-15 12:05:00+00:00,208.75,209.0,208.75,208.85,71968.0,1275.0,208.887839
NVDA,2026-06-15 12:10:00+00:00,208.829,208.95,208.36,208.46,109284.0,2486.0,208.698671
NVDA,2026-06-15 12:15:00+00:00,208.4,208.53,208.275,208.3,90230.0,1971.0,208.403664
NVDA,2026-06-15 12:20:00+00:00,208.3,208.39,207.7378,207.95,197576.0,3226.0,207.968632
NVDA,2026-06-15 12:25:00+00:00,207.95,208.2,207.88,208.0,89262.0,1804.0,208.032917
NVDA,2026-06-15 12:30:00+00:00,207.97,208.27,207.9005,208.0,81845.0,1539.0,208.108299
NVDA,2026-06-15 12:35:00+00:00,208.0309,208.09,207.85,208.0,77188.0,1633.0,207.943035
NVDA,2026-06-15 12:40:00+00:00,208.02,208.13,207.82,207.83,68429.0,1656.0,208.031778
NVDA,2026-06-15 12:45:00+00:00,207.83,207.95,207.7,207.89,87028.0,1778.0,207.81286
NVDA,2026-06-15 12:50:00+00:00,207.9,208.01,207.79,207.8613,106201.0,1982.0,207.88689
NVDA,2026-06-15 12:55:00+00:00,207.9,208.03,207.89,207.99,92109.0,1839.0,207.980796
NVDA,2026-06-15 13:00:00+00:00,207.99,208.0422,207.81,207.98,82438.0,1683.0,207.93441
NVDA,2026-06-15 13:05:00+00:00,208.0,208.24,207.86,208.2396,95845.0,2012.0,208.047303
NVDA,2026-06-15 13:10:00+00:00,208.24,208.5,208.19,208.2872,93118.0,2196.0,208.341423
NVDA,2026-06-15 13:15:00+00:00,208.35,208.45,208.3,208.39,70426.0,1727.0,208.394011
NVDA,2026-06-15 13:20:00+00:00,208.4,208.6,208.37,208.55,121956.0,2431.0,208.494812
NVDA,2026-06-15 13:25:00+00:00,208.6,209.08,208.44,208.97,358869.0,5794.0,208.918505
NVDA,2026-06-15 13:30:00+00:00,208.92,210.99,208.66,210.215,8175696.0,132842.0,209.787189
NVDA,2026-06-15 13:35:00+00:00,210.215,210.89,209.075,209.24,3631149.0,67407.0,210.070362
NVDA,2026-06-15 13:40:00+00:00,209.24,210.0,208.85,208.93,2714881.0,49804.0,209.354397
NVDA,2026-06-15 13:45:00+00:00,208.93,209.84,208.9,209.51,2099239.0,40497.0,209.490228
NVDA,2026-06-15 13:50:00+00:00,209.5,209.97,208.99,209.025,1699098.0,31399.0,209.502471
NVDA,2026-06-15 13:55:00+00:00,209.025,209.3,208.71,208.7635,1699192.0,31435.0,209.005991
NVDA,2026-06-15 14:00:00+00:00,208.8,209.39,208.695,209.16,1995011.0,33746.0,209.064942
NVDA,2026-06-15 14:05:00+00:00,209.14,209.29,208.34,208.83,1935420.0,30920.0,208.65813
NVDA,2026-06-15 14:10:00+00:00,208.8201,209.38,208.71,209.32,2065987.0,44402.0,209.098046
NVDA,2026-06-15 14:15:00+00:00,209.3,209.44,208.7,209.14,1415086.0,47211.0,209.069997
NVDA,2026-06-15 14:20:00+00:00,209.13,209.61,208.6211,209.11,1432760.0,46376.0,209.165193
NVDA,2026-06-15 14:25:00+00:00,209.1,209.41,208.59,209.395,1357623.0,44125.0,208.982177
NVDA,2026-06-15 14:30:00+00:00,209.4,210.02,209.29,209.8899,2376152.0,53346.0,209.722518
NVDA,2026-06-15 14:35:00+00:00,209.8899,210.1,209.47,209.64,1299508.0,44224.0,209.789009
NVDA,2026-06-15 14:40:00+00:00,209.625,209.66,209.23,209.58,1103869.0,41563.0,209.438132
NVDA,2026-06-15 14:45:00+00:00,209.57,210.05,209.5,209.571,1368683.0,42902.0,209.758608
NVDA,2026-06-15 14:50:00+00:00,209.595,210.04,209.52,209.69,1341425.0,42728.0,209.790996
NVDA,2026-06-15 14:55:00+00:00,209.68,210.44,209.64,210.36,1739964.0,47690.0,210.127423
NVDA,2026-06-15 15:00:00+00:00,210.36,210.92,210.35,210.75,1869963.0,49233.0,210.717541
NVDA,2026-06-15 15:05:00+00:00,210.75,211.3,210.7401,210.935,2171667.0,51941.0,211.088422
NVDA,2026-06-15 15:10:00+00:00,210.935,211.38,210.78,211.32,1624150.0,46357.0,211.104931
NVDA,2026-06-15 15:15:00+00:00,211.33,211.38,210.2502,211.0399,1283174.0,42570.0,211.055423
NVDA,2026-06-15 15:20:00+00:00,211.03,211.33,210.99,211.11,1083222.0,40626.0,211.150149
NVDA,2026-06-15 15:25:00+00:00,211.1,211.39,211.04,211.165,1337098.0,42686.0,211.239912
NVDA,2026-06-15 15:30:00+00:00,211.165,211.27,210.81,211.01,1300089.0,45200.0,211.105019
NVDA,2026-06-15 15:35:00+00:00,211.02,211.83,211.015,211.699,2063957.0,45836.0,211.507124
NVDA,2026-06-15 15:40:00+00:00,211.69,211.91,211.431,211.752,1200136.0,41235.0,211.671226
NVDA,2026-06-15 15:45:00+00:00,211.76,212.49,211.76,212.4,2215500.0,49476.0,212.122759
NVDA,2026-06-15 15:50:00+00:00,212.4199,212.7107,212.35,212.44,1635863.0,45102.0,212.536551
NVDA,2026-06-15 15:55:00+00:00,212.429,212.49,212.22,212.275,1122376.0,39945.0,212.323966
NVDA,2026-06-15 16:00:00+00:00,212.28,212.61,212.19,212.56,1407226.0,47105.0,212.442621
NVDA,2026-06-15 16:05:00+00:00,212.5501,212.61,212.36,212.37,1046858.0,38688.0,212.48796
NVDA,2026-06-15 16:10:00+00:00,212.39,212.59,212.28,212.44,1018644.0,37868.0,212.4416
NVDA,2026-06-15 16:15:00+00:00,212.44,212.47,211.97,212.225,978434.0,39370.0,212.222932
NVDA,2026-06-15 16:20:00+00:00,212.22,212.37,212.15,212.2,867688.0,36179.0,212.25727
NVDA,2026-06-15 16:25:00+00:00,212.185,212.55,212.1206,212.345,718715.0,35584.0,212.33445
NVDA,2026-06-15 16:30:00+00:00,212.35,212.58,212.235,212.26,767380.0,35756.0,212.398816
NVDA,2026-06-15 16:35:00+00:00,212.27,212.49,212.14,212.2112,843922.0,14755.0,212.273589
NVDA,2026-06-15 16:40:00+00:00,212.23,212.3821,212.02,212.23,840554.0,12775.0,212.201261
NVDA,2026-06-15 16:45:00+00:00,212.23,212.2386,211.87,212.12,891867.0,14498.0,212.027486
NVDA,2026-06-15 16:50:00+00:00,212.1399,212.155,211.853,211.92,599742.0,11368.0,212.009698
NVDA,2026-06-15 16:55:00+00:00,211.94,212.38,211.93,212.33,710294.0,12330.0,212.183553
NVDA,2026-06-15 17:00:00+00:00,212.33,212.445,212.04,212.35,641124.0,11594.0,212.297482
NVDA,2026-06-15 17:05:00+00:00,212.35,212.45,211.9,212.065,742916.0,16116.0,212.230557
