symbol,timestamp,open,high,low,close,volume,trade_count,vwap
QQQ,2026-06-08 08:00:00+00:00,710.64,711.74,704.46,710.46,392103.0,9424.0,708.427409
QQQ,2026-06-08 08:05:00+00:00,710.67,711.74,705.06,711.17,57570.0,968.0,710.302944
QQQ,2026-06-08 08:10:00+00:00,710.96,710.96,704.69,710.23,20696.0,468.0,710.026291
QQQ,2026-06-08 08:15:00+00:00,710.2,711.08,710.04,710.93,19821.0,367.0,710.512331
QQQ,2026-06-08 08:20:00+00:00,710.89,710.89,710.26,710.46,13445.0,367.0,710.552774
QQQ,2026-06-08 08:25:00+00:00,710.37,710.69,710.18,710.34,11958.0,207.0,710.346374
QQQ,2026-06-08 08:30:00+00:00,710.44,711.5,710.44,711.5,13255.0,325.0,711.050794
QQQ,2026-06-08 08:35:00+00:00,711.52,711.52,710.28,710.28,26356.0,546.0,710.834205
QQQ,2026-06-08 08:40:00+00:00,710.22,710.4,709.61,709.9,36517.0,545.0,709.905026
QQQ,2026-06-08 08:45:00+00:00,709.99,710.04,708.99,709.7712,17912.0,477.0,709.368129
QQQ,2026-06-08 08:50:00+00:00,710.01,710.01,708.92,709.15,31146.0,565.0,709.317787
QQQ,2026-06-08 08:55:00+00:00,709.15,709.5,708.94,709.4,19871.0,348.0,709.212332
QQQ,2026-06-08 09:00:00+00:00,709.4,709.8,709.35,709.72,15247.0,363.0,709.638126
QQQ,2026-06-08 09:05:00+00:00,709.69,709.72,708.7,708.745,13192.0,404.0,709.252857
QQQ,2026-06-08 09:10:00+00:00,708.68,709.595,708.65,709.59,18900.0,400.0,709.137896
QQQ,2026-06-08 09:15:00+00:00,709.59,710.0,709.59,709.87,9622.0,235.0,709.788808
QQQ,2026-06-08 09:20:00+00:00,709.97,710.45,709.91,710.0,16804.0,277.0,710.148688
QQQ,2026-06-08 09:25:00+00:00,709.98,710.12,709.7,709.8,15873.0,198.0,709.950694
QQQ,2026-06-08 09:30:00+00:00,709.7,709.7478,709.26,709.26,5880.0,193.0,709.541464
QQQ,2026-06-08 09:35:00+00:00,709.29,711.1,709.09,710.0,88340.0,1764.0,710.219982
QQQ,2026-06-08 09:40:00+00:00,709.85,710.47,709.59,710.43,10326.0,230.0,710.242482
QQQ,2026-06-08 09:45:00+00:00,710.28,710.6519,710.23,710.61,11122.0,211.0,710.529074
QQQ,2026-06-08 09:50:00+00:00,710.49,710.69,710.27,710.64,5663.0,173.0,710.463916
QQQ,2026-06-08 09:55:00+00:00,710.72,710.85,710.45,710.85,18595.0,352.0,710.659657
QQQ,2026-06-08 10:00:00+00:00,710.88,710.88,709.56,710.35,28381.0,442.0,710.275067
QQQ,2026-06-08 10:05:00+00:00,710.43,710.78,710.2,710.78,7161.0,163.0,710.493745
QQQ,2026-06-08 10:10:00+00:00,710.48,710.71,710.4,710.42,17374.0,265.0,710.533725
QQQ,2026-06-08 10:15:00+00:00,710.39,710.47,709.76,709.76,14755.0,291.0,710.116147
QQQ,2026-06-08 10:20:00+00:00,709.65,709.97,709.31,709.61,19306.0,394.0,709.715745
QQQ,2026-06-08 10:25:00+00:00,709.71,709.8,709.36,709.8,20196.0,338.0,709.625432
QQQ,2026-06-08 10:30:00+00:00,709.8,711.7,709.73,711.23,58590.0,1283.0,710.576836
QQQ,2026-06-08 10:35:00+00:00,711.01,711.4,710.83,710.87,18827.0,367.0,711.069107
QQQ,2026-06-08 10:40:00+00:00,710.85,711.22,710.7703,711.01,17662.0,314.0,711.0514
QQQ,2026-06-08 10:45:00+00:00,711.03,711.19,710.58,710.85,18496.0,219.0,710.795456
QQQ,2026-06-08 10:50:00+00:00,710.73,711.29,710.65,711.18,4618.0,170.0,710.91157
QQQ,2026-06-08 10:55:00+00:00,711.11,711.21,710.63,710.95,19395.0,348.0,710.957069
QQQ,2026-06-08 11:00:00+00:00,710.9,710.969,710.27,710.82,48310.0,685.0,710.558803
QQQ,2026-06-08 11:05:00+00:00,710.83,711.51,710.5618,711.51,25054.0,479.0,711.032425
QQQ,2026-06-08 11:10:00+00:00,711.54,713.88,711.53,713.88,95057.0,1420.0,712.695196
QQQ,2026-06-08 11:15:00+00:00,713.86,714.4,713.32,714.22,89214.0,1288.0,713.893338
QQQ,2026-06-08 11:20:00+00:00,714.22,714.97,713.98,714.15,77622.0,1239.0,714.505824
QQQ,2026-06-08 11:25:00+00:00,714.17,714.99,714.09,714.98,56392.0,1001.0,714.516293
QQQ,2026-06-08 11:30:00+00:00,714.99,715.5409,714.99,715.25,132997.0,1522.0,715.240547
QQQ,2026-06-08 11:35:00+00:00,715.19,715.62,715.08,715.536,51420.0,981.0,715.436607
QQQ,2026-06-08 11:40:00+00:00,715.4858,715.64,714.98,715.0009,54182.0,926.0,715.36528
QQQ,2026-06-08 11:45:00+00:00,715.0,715.25,714.19,714.52,63441.0,1035.0,714.623887
QQQ,2026-06-08 11:50:00+00:00,714.51,714.64,714.2,714.24,30730.0,667.0,714.35292
QQQ,2026-06-08 11:55:00+00:00,714.23,714.61,714.1,714.24,28687.0,725.0,714.413909
QQQ,2026-06-08 12:00:00+00:00,714.18,714.85,713.91,714.31,94669.0,1294.0,714.343155
QQQ,2026-06-08 12:05:00+00:00,714.61,715.11,714.27,715.1,41037.0,676.0,714.694199
QQQ,2026-06-08 12:10:00+00:00,715.19,715.19,714.5,715.0581,63884.0,846.0,714.865334
QQQ,2026-06-08 12:15:00+00:00,715.11,715.3,714.78,715.2,36405.0,709.0,715.067867
QQQ,2026-06-08 12:20:00+00:00,715.206,715.74,715.07,715.65,42460.0,797.0,715.478258
