symbol,timestamp,open,high,low,close,volume,trade_count,vwap
SPY,2026-06-08 08:00:00+00:00,739.17,740.52,736.32,739.79,167455.0,3692.0,738.3286
SPY,2026-06-08 08:05:00+00:00,739.8,740.42,736.57,739.89,27557.0,408.0,739.500949
SPY,2026-06-08 08:10:00+00:00,739.81,739.81,739.4,739.52,6880.0,112.0,739.598268
SPY,2026-06-08 08:15:00+00:00,739.64,739.79,739.31,739.78,3293.0,66.0,739.597762
SPY,2026-06-08 08:20:00+00:00,739.69,739.69,739.0,739.31,10577.0,163.0,739.304007
SPY,2026-06-08 08:25:00+00:00,739.32,739.5,739.2,739.29,808.0,43.0,739.276541
SPY,2026-06-08 08:30:00+00:00,739.43,739.77,739.39,739.72,5508.0,102.0,739.644435
SPY,2026-06-08 08:35:00+00:00,739.72,739.72,739.25,739.28,4135.0,76.0,739.34606
SPY,2026-06-08 08:40:00+00:00,739.12,739.17,738.76,739.1005,10786.0,159.0,738.937645
SPY,2026-06-08 08:45:00+00:00,739.11,739.25,738.6,739.25,3961.0,109.0,738.840769
SPY,2026-06-08 08:50:00+00:00,739.25,739.35,738.72,738.95,6116.0,91.0,738.944494
SPY,2026-06-08 08:55:00+00:00,738.74,739.16,738.74,739.16,7616.0,111.0,738.957894
SPY,2026-06-08 09:00:00+00:00,739.04,739.39,739.02,739.34,4107.0,75.0,739.237268
SPY,2026-06-08 09:05:00+00:00,738.78,738.81,738.47,738.54,2331.0,76.0,738.733499
SPY,2026-06-08 09:10:00+00:00,738.75,739.19,738.75,739.19,1462.0,36.0,738.87728
SPY,2026-06-08 09:15:00+00:00,739.2837,739.44,739.27,739.29,2238.0,48.0,739.369657
SPY,2026-06-08 09:20:00+00:00,739.44,739.68,739.44,739.53,2793.0,109.0,739.593069
SPY,2026-06-08 09:25:00+00:00,739.44,739.46,739.26,739.38,5505.0,65.0,739.370348
SPY,2026-06-08 09:30:00+00:00,739.28,739.47,739.23,739.26,2425.0,48.0,739.293762
SPY,2026-06-08 09:35:00+00:00,739.1,740.64,739.06,739.71,54893.0,823.0,739.954995
SPY,2026-06-08 09:40:00+00:00,739.6,740.05,739.53,740.05,9123.0,83.0,739.628066
SPY,2026-06-08 09:45:00+00:00,740.07,740.289,740.07,740.27,2940.0,43.0,740.172898
SPY,2026-06-08 09:50:00+00:00,740.05,740.3,740.0,740.1202,1783.0,40.0,740.149411
SPY,2026-06-08 09:55:00+00:00,740.23,740.36,740.19,740.36,3102.0,48.0,740.242305
SPY,2026-06-08 10:00:00+00:00,740.4,740.4,739.38,739.98,8943.0,170.0,739.990876
SPY,2026-06-08 10:05:00+00:00,740.02,740.38,740.02,740.33,8375.0,124.0,740.219591
SPY,2026-06-08 10:10:00+00:00,740.15,740.33,740.13,740.13,5000.0,76.0,740.209476
SPY,2026-06-08 10:15:00+00:00,740.09,740.09,739.6,739.6,2549.0,54.0,739.857296
SPY,2026-06-08 10:20:00+00:00,739.5,739.66,739.15,739.57,17396.0,204.0,739.380164
SPY,2026-06-08 10:25:00+00:00,739.57,739.72,739.44,739.66,25307.0,234.0,739.520646
SPY,2026-06-08 10:30:00+00:00,739.65,741.2,739.5804,740.83,44543.0,592.0,740.663975
SPY,2026-06-08 10:35:00+00:00,740.82,740.82,740.45,740.48,17439.0,162.0,740.596009
SPY,2026-06-08 10:40:00+00:00,740.46,740.75,740.3801,740.58,5677.0,117.0,740.585573
SPY,2026-06-08 10:45:00+00:00,740.6,740.7,740.32,740.5,3639.0,85.0,740.535751
SPY,2026-06-08 10:50:00+00:00,740.4,740.69,740.12,740.54,1954.0,75.0,740.49961
SPY,2026-06-08 10:55:00+00:00,740.51,740.56,740.2,740.47,10054.0,134.0,740.388224
SPY,2026-06-08 11:00:00+00:00,740.441,740.45,739.92,740.23,47189.0,568.0,740.124882
SPY,2026-06-08 11:05:00+00:00,740.23,740.68,740.08,740.68,99287.0,674.0,740.265085
SPY,2026-06-08 11:10:00+00:00,740.67,742.5,740.63,742.4,87769.0,1027.0,741.627948
SPY,2026-06-08 11:15:00+00:00,742.53,742.8,741.89,742.53,91984.0,964.0,742.314261
SPY,2026-06-08 11:20:00+00:00,742.49,743.0,742.1,742.3,62784.0,872.0,742.451189
SPY,2026-06-08 11:25:00+00:00,742.3091,742.87,742.28,742.87,37626.0,523.0,742.445674
SPY,2026-06-08 11:30:00+00:00,742.88,743.3,742.82,743.05,56253.0,755.0,743.132604
SPY,2026-06-08 11:35:00+00:00,743.07,743.32,742.96,743.17,19997.0,398.0,743.183172
SPY,2026-06-08 11:40:00+00:00,743.2,743.35,742.71,742.82,29473.0,478.0,743.155406
SPY,2026-06-08 11:45:00+00:00,742.76,742.89,742.15,742.4,29094.0,653.0,742.459632
SPY,2026-06-08 11:50:00+00:00,742.53,742.56,742.23,742.29,12166.0,395.0,742.368482
SPY,2026-06-08 11:55:00+00:00,742.29,742.54,742.15,742.33,10624.0,317.0,742.365848
SPY,2026-06-08 12:00:00+00:00,742.29,742.78,742.16,742.59,137826.0,1529.0,742.329554
SPY,2026-06-08 12:05:00+00:00,742.59,743.2,742.47,743.2,33981.0,531.0,742.705524
SPY,2026-06-08 12:10:00+00:00,743.2,743.29,742.77,742.9678,51643.0,738.0,743.039137
SPY,2026-06-08 12:15:00+00:00,742.96,743.11,742.77,743.03,38289.0,545.0,742.984667
SPY,2026-06-08 12:20:00+00:00,743.0,743.47,742.99,743.29,69441.0,999.0,743.23323
SPY,2026-06-08 12:25:00+00:00,743.3,743.46,743.25,743.38,40774.0,724.0,743.376739
SPY,2026-06-08 12:30:00+00:00,743.42,743.93,743.39,743.62,88528.0,997.0,743.708747
SPY,2026-06-08 12:35:00+00:00,743.612,743.94,743.5,743.52,39603.0,680.0,743.769487
SPY,2026-06-08 12:40:00+00:00,743.62,744.42,743.5052,743.86,66789.0,1080.0,743.946475
SPY,2026-06-08 12:45:00+00:00,743.92,743.92,743.57,743.76,45195.0,701.0,743.706042
SPY,2026-06-08 12:50:00+00:00,743.79,743.82,743.26,743.59,44290.0,661.0,743.456369
SPY,2026-06-08 12:55:00+00:00,743.6,743.7,743.41,743.53,18927.0,482.0,743.551222
SPY,2026-06-08 13:00:00+00:00,743.55,744.02,743.54,743.83,60590.0,798.0,743.834009
SPY,2026-06-08 13:05:00+00:00,743.82,744.1,743.6,743.97,25416.0,591.0,743.807822
SPY,2026-06-08 13:10:00+00:00,743.96,744.0,743.72,743.9,26774.0,593.0,743.884245
SPY,2026-06-08 13:15:00+00:00,743.87,743.99,743.65,743.95,39375.0,697.0,743.833417
SPY,2026-06-08 13:20:00+00:00,743.94,744.73,743.94,744.18,74889.0,1059.0,744.317624
SPY,2026-06-08 13:25:00+00:00,744.21,744.2767,743.28,743.31,96671.0,1374.0,743.573941
SPY,2026-06-08 13:30:00+00:00,743.36,744.51,742.15,742.185,1979377.0,39627.0,743.607536
SPY,2026-06-08 13:35:00+00:00,742.19,742.66,741.58,741.595,1107558.0,16877.0,742.167036
SPY,2026-06-08 13:40:00+00:00,741.62,743.1,741.48,742.72,815861.0,14150.0,742.194392
SPY,2026-06-08 13:45:00+00:00,742.73,743.52,742.1,742.58,837670.0,15105.0,742.879743
SPY,2026-06-08 13:50:00+00:00,742.56,743.725,741.91,743.2,483214.0,10032.0,742.852726
SPY,2026-06-08 13:55:00+00:00,743.215,743.33,740.8,740.85,768859.0,13706.0,741.757461
SPY,2026-06-08 14:00:00+00:00,740.8,742.3301,740.6,741.18,768522.0,12577.0,741.573062
SPY,2026-06-08 14:05:00+00:00,741.17,742.52,741.06,742.32,469327.0,8530.0,741.854365
SPY,2026-06-08 14:10:00+00:00,742.32,742.46,741.42,741.6399,471972.0,9983.0,741.916658
SPY,2026-06-08 14:15:00+00:00,741.625,741.8,740.85,741.55,427729.0,9891.0,741.277381
SPY,2026-06-08 14:20:00+00:00,741.48,742.3662,741.1751,742.1401,430758.0,9828.0,741.783897
SPY,2026-06-08 14:25:00+00:00,742.16,743.02,741.95,742.48,549160.0,11422.0,742.545461
SPY,2026-06-08 14:30:00+00:00,742.44,742.98,742.3,742.87,447787.0,10480.0,742.680772
SPY,2026-06-08 14:35:00+00:00,742.9,743.67,742.72,743.27,659990.0,13089.0,743.165132
SPY,2026-06-08 14:40:00+00:00,743.27,743.5,741.97,742.57,776088.0,12305.0,742.705025
SPY,2026-06-08 14:45:00+00:00,742.58,744.35,742.58,743.5401,618925.0,12553.0,743.807998
SPY,2026-06-08 14:50:00+00:00,743.58,744.345,743.3,744.11,428477.0,9156.0,743.96003
SPY,2026-06-08 14:55:00+00:00,744.13,745.02,743.65,744.995,456792.0,9642.0,744.42487
SPY,2026-06-08 15:00:00+00:00,744.98,745.27,744.62,744.64,484659.0,9647.0,744.984107
SPY,2026-06-08 15:05:00+00:00,744.63,745.34,744.57,745.12,352985.0,7317.0,745.028881
SPY,2026-06-08 15:10:00+00:00,745.12,745.2,744.68,744.72,270388.0,7258.0,745.015223
SPY,2026-06-08 15:15:00+00:00,744.7701,745.16,744.39,744.844,388675.0,8963.0,744.812691
SPY,2026-06-08 15:20:00+00:00,744.84,745.08,744.14,744.93,387922.0,8637.0,744.617032
SPY,2026-06-08 15:25:00+00:00,744.93,744.93,743.11,743.23,431536.0,8996.0,743.889393
SPY,2026-06-08 15:30:00+00:00,743.25,743.38,741.87,742.16,552318.0,10724.0,742.505991
SPY,2026-06-08 15:35:00+00:00,742.16,743.63,741.91,743.5,456537.0,9329.0,742.618238
SPY,2026-06-08 15:40:00+00:00,743.475,743.9,743.16,743.69,351846.0,7504.0,743.535876
SPY,2026-06-08 15:45:00+00:00,743.71,744.35,743.28,743.365,458298.0,7832.0,743.852686
SPY,2026-06-08 15:50:00+00:00,743.34,744.1636,743.34,743.53,249260.0,7133.0,743.816409
SPY,2026-06-08 15:55:00+00:00,743.5,743.52,742.49,742.765,423364.0,7489.0,742.901215
SPY,2026-06-08 16:00:00+00:00,742.75,743.26,742.16,742.853,483019.0,9782.0,742.779184
SPY,2026-06-08 16:05:00+00:00,742.88,743.23,742.49,742.63,281068.0,6543.0,742.82937
SPY,2026-06-08 16:10:00+00:00,742.67,743.25,742.35,743.07,238183.0,6723.0,742.843353
SPY,2026-06-08 16:15:00+00:00,743.095,743.73,743.02,743.7,264129.0,6581.0,743.53001
SPY,2026-06-08 16:20:00+00:00,743.69,743.97,742.86,743.03,332881.0,7942.0,743.473107
SPY,2026-06-08 16:25:00+00:00,743.02,743.46,742.115,742.14,229295.0,6408.0,742.758439
SPY,2026-06-08 16:30:00+00:00,742.16,742.62,741.9,741.96,250328.0,6693.0,742.295988
