symbol,timestamp,open,high,low,close,volume,trade_count,vwap
TSLA,2026-06-15 08:00:00+00:00,411.3,412.09,409.9038,410.5,88622.0,3658.0,410.924174
TSLA,2026-06-15 08:05:00+00:00,410.72,412.28,409.93,411.43,173871.0,7806.0,411.368383
TSLA,2026-06-15 08:10:00+00:00,411.34,412.28,411.09,412.0,15744.0,672.0,411.911372
TSLA,2026-06-15 08:15:00+00:00,412.0,412.0,411.59,411.7405,7326.0,353.0,411.830886
TSLA,2026-06-15 08:20:00+00:00,411.52,411.7,411.35,411.5,10000.0,343.0,411.494462
TSLA,2026-06-15 08:25:00+00:00,411.52,412.2,411.2,412.13,16556.0,481.0,411.667465
TSLA,2026-06-15 08:30:00+00:00,412.15,412.5,412.01,412.4656,15343.0,528.0,412.382396
TSLA,2026-06-15 08:35:00+00:00,412.36,412.5,412.3,412.46,9511.0,302.0,412.394195
TSLA,2026-06-15 08:40:00+00:00,412.3,412.38,412.01,412.11,7349.0,317.0,412.215517
TSLA,2026-06-15 08:45:00+00:00,412.2,412.46,412.0,412.0,6254.0,310.0,412.248215
TSLA,2026-06-15 08:50:00+00:00,412.13,412.25,412.0,412.14,13988.0,360.0,412.055631
TSLA,2026-06-15 08:55:00+00:00,412.05,412.13,411.8,411.8,11147.0,342.0,411.971941
TSLA,2026-06-15 09:00:00+00:00,411.8,412.35,411.8,412.3,6878.0,201.0,412.03707
TSLA,2026-06-15 09:05:00+00:00,412.24,412.3,411.8,411.81,14256.0,268.0,412.004905
TSLA,2026-06-15 09:10:00+00:00,412.07,412.19,411.95,412.0,4271.0,199.0,412.036734
TSLA,2026-06-15 09:15:00+00:00,412.0,412.12,411.8,411.8,9450.0,267.0,411.998658
TSLA,2026-06-15 09:20:00+00:00,411.8,411.84,411.42,411.43,16104.0,427.0,411.601501
TSLA,2026-06-15 09:25:00+00:00,411.41,411.5,411.2,411.2,9544.0,317.0,411.27787
TSLA,2026-06-15 09:30:00+00:00,411.2,411.22,411.0,411.02,11115.0,380.0,411.035463
TSLA,2026-06-15 09:35:00+00:00,411.018,411.48,411.018,411.37,6038.0,252.0,411.30883
TSLA,2026-06-15 09:40:00+00:00,411.33,411.33,410.95,410.95,7677.0,256.0,411.152337
TSLA,2026-06-15 09:45:00+00:00,410.92,411.04,410.9,411.0,6785.0,275.0,410.951052
TSLA,2026-06-15 09:50:00+00:00,411.15,411.43,411.0078,411.32,4257.0,182.0,411.14421
TSLA,2026-06-15 09:55:00+00:00,411.23,411.3609,411.11,411.23,3111.0,119.0,411.210653
TSLA,2026-06-15 10:00:00+00:00,411.12,411.22,411.07,411.07,5057.0,239.0,411.11486
TSLA,2026-06-15 10:05:00+00:00,411.01,411.17,410.94,411.17,4712.0,273.0,411.002732
TSLA,2026-06-15 10:10:00+00:00,411.21,411.4,411.08,411.2,4310.0,182.0,411.241279
